time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
3522, 1535, 9.765948, -0.418985, 1.458069, -0.362389, 0.020518, 0.206242, 23.424118
3532, 1620, 9.691729, -0.517148, 1.364695, -0.380242, 0.034640, 0.208107, 23.418236
3542, 1664, 9.627085, -0.620098, 1.170765, -0.400493, 0.072744, 0.200646, 23.427059
3552, 1621, 9.579201, -0.775721, 0.938527, -0.417547, 0.120974, 0.185991, 23.415295
3562, 1695, 9.557653, -0.859518, 0.754174, -0.424208, 0.163342, 0.165740, 23.427059
3572, 1582, 9.516952, -0.905008, 0.634463, -0.430337, 0.201979, 0.141758, 23.424118
3582, 1741, 9.440337, -0.835576, 0.557849, -0.452453, 0.250741, 0.116444, 23.418236
3592, 1633, 9.399636, -0.646434, 0.586579, -0.466576, 0.322153, 0.091930, 23.430000
3602, 1761, 9.411607, -0.509965, 0.730232, -0.461513, 0.423409, 0.064484, 23.406471
3612, 1701, 9.490616, -0.483629, 0.746991, -0.456983, 0.546248, 0.048230, 23.418236
3622, 1667, 9.720459, -0.478840, 0.794875, -0.477767, 0.664291, 0.057822, 23.421177
3632, 1695, 10.067618, -0.493206, 1.034295, -0.527329, 0.734104, 0.075675, 23.424118
3642, 1662, 10.400413, -0.569820, 1.364695, -0.574493, 0.745029, 0.077274, 23.418236
3652, 1679, 10.635044, -0.524330, 1.790863, -0.589681, 0.706925, 0.057023, 23.441765
3662, 1675, 10.778696, -0.481235, 2.054225, -0.568897, 0.642974, 0.022383, 23.430000
3672, 1649, 10.769119, -0.483629, 2.226608, -0.534790, 0.568897, -0.011458, 23.432941
3682, 1680, 10.651803, -0.474052, 2.363077, -0.492423, 0.492423, -0.024781, 23.444706
3692, 1707, 10.479421, -0.430956, 2.406173, -0.443660, 0.416481, -0.019452, 23.427059
3702, 1657, 10.345345, -0.392649, 2.432509, -0.404224, 0.349066, -0.011191, 23.432941
3712, 1694, 10.189722, -0.335188, 2.590526, -0.385571, 0.271525, -0.011724, 23.415295
3722, 1705, 10.005369, -0.153229, 2.770091, -0.363988, 0.161743, -0.018652, 23.418236
3732, 1795, 9.718064, 0.181959, 2.750938, -0.309096, 0.069280, -0.015721, 23.424118
3742, 2320, 9.476251, 0.509965, 2.506729, -0.228092, 0.045299, -0.000266, 23.430000
3752, 2368, 9.387665, 0.713472, 2.343924, -0.164407, 0.083136, 0.022116, 23.424118
3762, 2578, 9.488221, 0.780510, 2.444480, -0.134830, 0.117510, 0.042368, 23.435883
3772, 2000, 9.605537, 0.708684, 2.695871, -0.116711, 0.091663, 0.063418, 23.430000
3782, 1807, 9.653421, 0.581791, 2.870648, -0.085002, 0.012257, 0.085534, 23.427059
3792, 1689, 9.595961, 0.450110, 2.892196, -0.039170, -0.075942, 0.105786, 23.438824
3802, 1518, 9.452309, 0.282516, 2.896984, 0.015188, -0.151617, 0.123106, 23.430000
3812, 1614, 9.236830, -0.038307, 2.676718, 0.071145, -0.198515, 0.133764, 23.412354
3822, 1568, 9.076419, -0.366313, 2.360683, 0.104187, -0.185991, 0.141225, 23.421177
3832, 1525, 8.997410, -0.629675, 2.190695, 0.105786, -0.145222, 0.151351, 23.447647
3842, 1601, 9.047688, -0.957681, 2.097321, 0.082070, -0.112714, 0.162542, 23.441765
